ID_LUID,x,y,YEAR,share.CrpLnd,share.GrsLnd,share.NatLnd,share.MngFor,share.PriFor,share.OagLnd,share.WetLnd,share.NotRel,share.RstLnd,Area.1000ha
35,-21,83,2050,0,0,0.503453569,0,0,0,0,0.496546431,0,13.03
36,-99,81,2000,0,0,0,0,0,0,0,1,0,10.2
36,-99,81,2010,0,0,0,0,0,0,0,1,0,10.2
36,-99,81,2020,0,0,0,0,0,0,0,1,0,10.2
36,-99,81,2030,0,0,0,0,0,0,0,1,0,10.2
36,-99,81,2040,0,0,0,0,0,0,0,1,0,10.2
36,-99,81,2050,0,0,0,0,0,0,0,1,0,10.2
37,-95,81,2000,0,0,0.123931317,0,0,0.001365041,0,0.874703643,0,139.19
37,-95,81,2010,0,0,0.123931317,0,0,0.001365041,0,0.874703643,0,139.19
37,-95,81,2020,0,0,0.123931317,0,0,0.001365041,0,0.874703643,0,139.19
37,-95,81,2030,0,0,0.123931317,0,0,0.001365041,0,0.874703643,0,139.19
37,-95,81,2040,0,0,0.123931317,0,0,0.001365041,0,0.874703643,0,139.19
37,-95,81,2050,0,0,0.123931317,0,0,0.001365041,0,0.874703643,0,139.19
38,-93,81,2000,0,0,0.050292481,0,0,0.000546916,0,0.949160603,0,420.54
38,-93,81,2010,0,0,0.050292481,0,0,0.000546916,0,0.949160603,0,420.54
38,-93,81,2020,0,0,0.050292481,0,0,0.000546916,0,0.949160603,0,420.54
38,-93,81,2030,0,0,0.050292481,0,0,0.000546916,0,0.949160603,0,420.54
38,-93,81,2040,0,0,0.050292481,0,0,0.000546916,0,0.949160603,0,420.54
38,-93,81,2050,0,0,0.050292481,0,0,0.000546916,0,0.949160603,0,420.54
39,-91,81,2000,0,0,0.13086168,0,0,0.001448653,0,0.867689666,0,186.38
39,-91,81,2010,0,0,0.13086168,0,0,0.001448653,0,0.867689666,0,186.38
39,-91,81,2020,0,0,0.13086168,0,0,0.001448653,0,0.867689666,0,186.38
39,-91,81,2030,0,0,0.13086168,0,0,0.001448653,0,0.867689666,0,186.38
39,-91,81,2040,0,0,0.13086168,0,0,0.001448653,0,0.867689666,0,186.38
39,-91,81,2050,0,0,0.13086168,0,0,0.001448653,0,0.867689666,0,186.38
40,-89,81,2000,0,0,0.148824547,0,0,0.001644783,0,0.84953067,0,352.63
40,-89,81,2010,0,0,0.148824547,0,0,0.001644783,0,0.84953067,0,352.63
40,-89,81,2020,0,0,0.148824547,0,0,0.001644783,0,0.84953067,0,352.63
40,-89,81,2030,0,0,0.148824547,0,0,0.001644783,0,0.84953067,0,352.63
40,-89,81,2040,0,0,0.148824547,0,0,0.001644783,0,0.84953067,0,352.63
40,-89,81,2050,0,0,0.148824547,0,0,0.001644783,0,0.84953067,0,352.63
41,-87,81,2000,0,0,0.10978055,0,0,0.001197505,0,0.889021945,0,359.08
41,-87,81,2010,0,0,0.10978055,0,0,0.001197505,0,0.889021945,0,359.08
41,-87,81,2020,0,0,0.10978055,0,0,0.001197505,0,0.889021945,0,359.08
41,-87,81,2030,0,0,0.10978055,0,0,0.001197505,0,0.889021945,0,359.08
41,-87,81,2040,0,0,0.10978055,0,0,0.001197505,0,0.889021945,0,359.08
41,-87,81,2050,0,0,0.10978055,0,0,0.001197505,0,0.889021945,0,359.08
42,-85,81,2000,0,0,0.219296789,0,0,0.002357316,0,0.778345895,0,301.19
42,-85,81,2010,0,0,0.219296789,0,0,0.002357316,0,0.778345895,0,301.19
42,-85,81,2020,0,0,0.219296789,0,0,0.002357316,0,0.778345895,0,301.19
42,-85,81,2030,0,0,0.219296789,0,0,0.002357316,0,0.778345895,0,301.19
42,-85,81,2040,0,0,0.219296789,0,0,0.002357316,0,0.778345895,0,301.19
42,-85,81,2050,0,0,0.219296789,0,0,0.002357316,0,0.778345895,0,301.19
43,-83,81,2000,0,0,0.179101823,0,0,0.001956425,0,0.818941752,0,224.9
43,-83,81,2010,0,0,0.179101823,0,0,0.001956425,0,0.818941752,0,224.9
43,-83,81,2020,0,0,0.179101823,0,0,0.001956425,0,0.818941752,0,224.9
43,-83,81,2030,0,0,0.179101823,0,0,0.001956425,0,0.818941752,0,224.9
43,-83,81,2040,0,0,0.179101823,0,0,0.001956425,0,0.818941752,0,224.9
43,-83,81,2050,0,0,0.179101823,0,0,0.001956425,0,0.818941752,0,224.9
44,-81,81,2000,0,0,0.049043981,0,0,0.000542422,0,0.950413597,0,221.23
44,-81,81,2010,0,0,0.049043981,0,0,0.000542422,0,0.950413597,0,221.23
44,-81,81,2020,0,0,0.049043981,0,0,0.000542422,0,0.950413597,0,221.23
44,-81,81,2030,0,0,0.049043981,0,0,0.000542422,0,0.950413597,0,221.23
44,-81,81,2040,0,0,0.049043981,0,0,0.000542422,0,0.950413597,0,221.23
44,-81,81,2050,0,0,0.049043981,0,0,0.000542422,0,0.950413597,0,221.23
45,-79,81,2000,0,0,4.73E-05,0,0,0,0,0.999952734,0,211.57
45,-79,81,2010,0,0,4.73E-05,0,0,0,0,0.999952734,0,211.57
45,-79,81,2020,0,0,4.73E-05,0,0,0,0,0.999952734,0,211.57
45,-79,81,2030,0,0,4.73E-05,0,0,0,0,0.999952734,0,211.57
45,-79,81,2040,0,0,4.73E-05,0,0,0,0,0.999952734,0,211.57
45,-79,81,2050,0,0,4.73E-05,0,0,0,0,0.999952734,0,211.57
46,-77,81,2000,0,0,0,0,0,0,0,1,0,245.77
46,-77,81,2010,0,0,0,0,0,0,0,1,0,245.77
46,-77,81,2020,0,0,0,0,0,0,0,1,0,245.77
46,-77,81,2030,0,0,0,0,0,0,0,1,0,245.77
46,-77,81,2040,0,0,0,0,0,0,0,1,0,245.77
46,-77,81,2050,0,0,0,0,0,0,0,1,0,245.77
47,-75,81,2000,0,0,0,0,0,0,0,1,0,263.2
47,-75,81,2010,0,0,0,0,0,0,0,1,0,263.2
47,-75,81,2020,0,0,0,0,0,0,0,1,0,263.2
47,-75,81,2030,0,0,0,0,0,0,0,1,0,263.2
47,-75,81,2040,0,0,0,0,0,0,0,1,0,263.2
47,-75,81,2050,0,0,0,0,0,0,0,1,0,263.2
48,-73,81,2000,0,0,0,0,0,0,0,1,0,221.2
48,-73,81,2010,0,0,0,0,0,0,0,1,0,221.2
48,-73,81,2020,0,0,0,0,0,0,0,1,0,221.2
48,-73,81,2030,0,0,0,0,0,0,0,1,0,221.2
48,-73,81,2040,0,0,0,0,0,0,0,1,0,221.2
48,-73,81,2050,0,0,0,0,0,0,0,1,0,221.2
