*file,reg,variable,year,val
SSP1p_20W_BIOD2,SEA,ESHI,2030,1.169384016
SSP1p_20W_BIOD2,OAS,ESHI,2030,0.998064819
SSP1p_20W_BIOD2,ANZ,ESHI,2030,1.155517472
SSP1p_20W_BIOD2,NAM,ESHI,2030,1.214715247
SSP1p_20W_BIOD2,OAM,ESHI,2030,0.979716284
SSP1p_20W_BIOD2,AME,ESHI,2030,0.989803503
SSP1p_20W_BIOD2,SAS,ESHI,2030,1.128863198
SSP1p_20W_BIOD2,WLD,ESHI,2030,1.02682454
SSP1p_20W_BIOD2,EUE,ESHI,2030,1.029131829
SSP1p_20W_BIOD2,CAN,RLI,2030,0.944262295
SSP1p_20W_BIOD2,USA,RLI,2030,0.884942085
SSP1p_20W_BIOD2,BRA,RLI,2030,0.964255319
SSP1p_20W_BIOD2,OSA,RLI,2030,0.953148615
SSP1p_20W_BIOD2,FSU,RLI,2030,0.780602007
SSP1p_20W_BIOD2,EUR,RLI,2030,0.915277778
SSP1p_20W_BIOD2,MEN,RLI,2030,0.878969957
SSP1p_20W_BIOD2,SSA,RLI,2030,0.956275304
SSP1p_20W_BIOD2,CHN,RLI,2030,0.956690998
SSP1p_20W_BIOD2,IND,RLI,2030,0.95530303
SSP1p_20W_BIOD2,SEA,RLI,2030,0.973486088
SSP1p_20W_BIOD2,OAS,RLI,2030,0.948611111
SSP1p_20W_BIOD2,ANZ,RLI,2030,0.924324324
SSP1p_20W_BIOD2,NAM,RLI,2030,0.895057034
SSP1p_20W_BIOD2,OAM,RLI,2030,0.955703212
SSP1p_20W_BIOD2,AME,RLI,2030,0.94766147
SSP1p_20W_BIOD2,SAS,RLI,2030,0.964590965
SSP1p_20W_BIOD2,WLD,RLI,2030,0.949630672
SSP1p_20W_BIOD2,EUE,RLI,2030,0.917985612
SSP1p_20W_BIOD2,CAN,NSpeciesExtinctAtFirstYear,2030,4
SSP1p_20W_BIOD2,USA,NSpeciesExtinctAtFirstYear,2030,14
SSP1p_20W_BIOD2,BRA,NSpeciesExtinctAtFirstYear,2030,6
SSP1p_20W_BIOD2,OSA,NSpeciesExtinctAtFirstYear,2030,24
SSP1p_20W_BIOD2,FSU,NSpeciesExtinctAtFirstYear,2030,30
SSP1p_20W_BIOD2,EUR,NSpeciesExtinctAtFirstYear,2030,8
SSP1p_20W_BIOD2,MEN,NSpeciesExtinctAtFirstYear,2030,27
SSP1p_20W_BIOD2,SSA,NSpeciesExtinctAtFirstYear,2030,25
SSP1p_20W_BIOD2,CHN,NSpeciesExtinctAtFirstYear,2030,15
SSP1p_20W_BIOD2,IND,NSpeciesExtinctAtFirstYear,2030,5
SSP1p_20W_BIOD2,SEA,NSpeciesExtinctAtFirstYear,2030,8
SSP1p_20W_BIOD2,OAS,NSpeciesExtinctAtFirstYear,2030,7
SSP1p_20W_BIOD2,ANZ,NSpeciesExtinctAtFirstYear,2030,13
SSP1p_20W_BIOD2,NAM,NSpeciesExtinctAtFirstYear,2030,14
SSP1p_20W_BIOD2,OAM,NSpeciesExtinctAtFirstYear,2030,24
SSP1p_20W_BIOD2,AME,NSpeciesExtinctAtFirstYear,2030,39
SSP1p_20W_BIOD2,SAS,NSpeciesExtinctAtFirstYear,2030,23
SSP1p_20W_BIOD2,WLD,NSpeciesExtinctAtFirstYear,2030,110
SSP1p_20W_BIOD2,EUE,NSpeciesExtinctAtFirstYear,2030,7
SSP1p_20W_BIOD2,CAN,NPotSpeciesInRegion,2030,122
